MicrobeID	PubSeedID	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom	Host	Version	NCBI Taxonomy ID	Annotation version ID	RefSeq ID	GCF ID	IMG Genome ID	Strain/species reference	Reference category	Ecotype	Specific Ecosystem	Cell Shape	Cultured	Diseases	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Gram Staining	Oxygen Requirement	Habitat	Metabolism	Motility	Sample Body Site	Sample Body Subsite	Genome Size   * assembled	Gene Count   * assembled	GC Count   * assembled	GC   * assembled	CDS Count   * assembled	CDS %   * assembled	Genome link
Abiotrophia_defectiva_ATCC_49176	Abiotrophia defectiva ATCC 49176 (592010.4)	2	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human	AGORA1.03	592010	592010.4		GCF_000160075.2	2562617177	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Coccus-shaped	Yes	0	Host-associated	Human	Blood	Circulatory system	Gram+	Facultative anaerobe	Host, Human oral cavity	0	Nonmotile	Oral	0	2041839	2009	959280	47	1950	97.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/075/GCF_000160075.2_ASM16007v2
Acaricomes_phytoseiuli_DSM_14247	Acaricomes phytoseiuli DSM 14247 (1120917.3)	1	Acaricomes phytoseiuli DSM 14247	Acaricomes phytoseiuli	Acaricomes	Micrococcaceae	Micrococcales	Actinobacteria	Actinobacteria	Bacteria	Human	AGORA2	1120917	1120917.3		GCF_000376245.1	2517572146	PMID:31275260	Literature research	0	0	Rod-shaped	Yes	0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Aerobe	Host	0	Nonmotile	0	0	2419519	2387	1506904	62	2326	97.44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/245/GCF_000376245.1_ASM37624v1
Acaryochloris_marina_MBIC11017	N/A	0	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	unclassified Cyanobacteria	Cyanobacteria	Bacteria	Human	AGORA2	329726		GCF_000018105.1	GCF_000018105.1	641228474	PMID:31092280	DAR genome selection	0	0	Sphere-shaped	Yes	0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	Marine	0	Nonmotile	0	0	8361599	8488	3926263	47	8409	99.07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1
Acetanaerobacterium_elongatum_CGMCC_1_5012	N/A	0	Acetanaerobacterium elongatum CGMCC_1_5012	Acetanaerobacterium elongatum	Acetanaerobacterium	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	AGORA2	258515			GCF_900103835.1	2667527408	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0	0	Rod-shaped	Yes	0	0	0	0	0	Gram+	Anaerobe	0	0	Motile	0	0	2916215	2842	1429234	49	2773	97.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/835/GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly
Acetatifactor_muris_GP69	N/A	0	Acetatifactor muris GP69	Acetatifactor muris	Acetatifactor	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Mouse	AGORA2	879566			GCF_900248245.1	2831971958	PMID:27670113	Literature research	0	0	Rod-shaped	Yes	0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Anaerobe	0	0	Nonmotile	0	0	6013646	6002	2868509	48	5901	98.32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/248/245/GCF_900248245.1_Amuris69
Acetivibrio_cellulolyticus_CD2	Acetivibrio cellulolyticus CD2 (509191.4)	1	Acetivibrio cellulolyticus CD2	Hungateiclostridium cellulolyticum	Hungateiclostridium	Hungateiclostridiaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	AGORA2	509191	509191.4		GCF_000179595.2	2510461053	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0	0	Rod-shaped	Yes	0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe	Sludge, Wastewater	Cellulose degrader	Motile	0	0	6156735	5163	2184827	36	5094	98.66	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2
Acetivibrio_ethanolgignens_ACET_33324	N/A	0	Acetivibrio ethanolgignens ACET-33324	Acetivibrio ethanolgignens	Acetivibrio	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Mouse	AGORA2	290052		NZ_LNAM01000001	GCF_001461035.1	2724679012	Personal communication, Dr. Jan Krumsiek	Personal communication	0	0	0	Yes	0	0	0	0	0	Gram+	Anaerobe	0	0	Motile	0	0	3634069	3697	1490506	41	3616	97.81	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/461/035/GCF_001461035.1_ASM146103v1
Acetobacterium_wieringae_DSM_1911	N/A	0	Acetobacterium wieringae DSM 1911	Acetobacterium wieringae	Acetobacterium	Eubacteriaceae	Clostridiales	Clostridia	Firmicutes	Bacteria	Mouse	AGORA2	52694			GCF_001766835.1	2690315663	Personal communication, Dr. Jan Krumsiek	Personal communication	0	0	0	Yes	0	Engineered	Wastewater	Dissolved organics (anaerobic)	Nutrient removal	Gram+	Anaerobe	0	0	0	0	0	3895828	3664	1716937	44	3619	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/835/GCF_001766835.1_ASM176683v1
Acetonema_longum_DSM_6540	Acetonema longum DSM 6540 (1009370.3)	1	Acetonema longum DSM 6540	Acetonema longum	Acetonema	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	Human	AGORA2	1009370	1009370.3		GCF_000219125.1	651324002	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0	0	Rod-shaped	Yes	0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe	Host, Insect	0	0	0	0	4323011	4347	2177104	50	4284	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1
Achromobacter_insuavis_AXX_A	Achromobacter xylosoxidans AXX-A (1003200.3)	2	Achromobacter xylosoxidans AXX-A	Achromobacter insuavis	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1003200	1003200.3		GCF_000219745.1	2529293051	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	Rod-shaped	Yes	Cystic Fibrosis, Opportunistic infection	Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Aerobe	Host	0	Motile	0	0	6707795	6220	4574268	68	6161	99.05	https://www.ncbi.nlm.nih.gov/assembly/GCF_000219745.1/
